query,title,authors,publisher,publication,issue_yymm,link_url
kpop 아이돌,버추얼 <!HS>아이돌<!HE>의 멀티 도메인 기반 교차사례 연구 : <!HS>KPop<!HE> Demon Hunters HUNTR/X의 차별성 평가,"박지은, 장민호",한국문화산업학회,문화산업연구,2025. 12. 31,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE12553518
kpop 아이돌,K-POP 여성 <!HS>아이돌<!HE> 캐릭터 분석 - <케이팝 데몬 헌터스>를 중심으로,서재인,동국대학교 영상문화콘텐츠연구원,영상문화콘텐츠연구,2025. 10. 30,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE12586793
kpop 아이돌,글로벌 장르로서의 한류 - KDrama 와 <!HS>KPop<!HE>의 글로벌 장르화 가능성에 대한 연구,이형은,서울대학교 대학원,,2017. 1. 1,https://www.dbpia.co.kr/journal/voisDetail?voisId=NODT14618342
