query,title,authors,publisher,publication,issue_yymm,link_url
이집트 화장품,(The) potential of the male beauty industry : analysis of cosmetics consumption behavior of the young male generation in China,장택육,중앙대학교 국제대학원,,2021. 1. 1,https://www.dbpia.co.kr/journal/voisDetail?voisId=NODT15781177
이집트 화장품,한-<!HS>이집트<!HE> 수교 30주년: 경제협력 성과 및 과제,"강문수, 이다운",대외경제정책연구원,,2025. 3. 24,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE12121398
